,cell,lon,lat,month,decend,sum,geometry
100,22,-52.375,-10.125,10,2,53.75545099046495,POINT (-5830358.330297703 -1133022.301168405)
101,22,-52.375,-10.125,10,3,79.0489853752984,POINT (-5830358.330297703 -1133022.301168405)
102,23,-52.125,-10.125,9,1,12.906026204427084,POINT (-5802528.457599385 -1133022.301168405)
103,23,-52.125,-10.125,9,2,25.62194315592448,POINT (-5802528.457599385 -1133022.301168405)
104,23,-52.125,-10.125,9,3,33.42171631919013,POINT (-5802528.457599385 -1133022.301168405)
105,23,-52.125,-10.125,10,1,45.765234523349335,POINT (-5802528.457599385 -1133022.301168405)
106,23,-52.125,-10.125,10,2,52.03083101908366,POINT (-5802528.457599385 -1133022.301168405)
107,23,-52.125,-10.125,10,3,78.73529137505426,POINT (-5802528.457599385 -1133022.301168405)
108,24,-51.875,-10.125,9,1,12.395896487765842,POINT (-5774698.584901066 -1133022.301168405)
109,24,-51.875,-10.125,9,2,24.23467116885715,POINT (-5774698.584901066 -1133022.301168405)
110,24,-51.875,-10.125,9,3,32.286286883884,POINT (-5774698.584901066 -1133022.301168405)
111,24,-51.875,-10.125,10,1,45.13590653737386,POINT (-5774698.584901066 -1133022.301168405)
112,24,-51.875,-10.125,10,2,51.917624155680336,POINT (-5774698.584901066 -1133022.301168405)
113,24,-51.875,-10.125,10,3,78.3044622209337,POINT (-5774698.584901066 -1133022.301168405)
114,25,-51.625,-10.125,9,1,11.776470290289986,POINT (-5746868.712202748 -1133022.301168405)
115,25,-51.625,-10.125,9,2,21.05435366100735,POINT (-5746868.712202748 -1133022.301168405)
116,25,-51.625,-10.125,9,3,30.646070771747166,POINT (-5746868.712202748 -1133022.301168405)
117,25,-51.625,-10.125,10,1,43.08872903717889,POINT (-5746868.712202748 -1133022.301168405)
118,25,-51.625,-10.125,10,2,51.98188718159994,POINT (-5746868.712202748 -1133022.301168405)
119,25,-51.625,-10.125,10,3,74.14251687791612,POINT (-5746868.712202748 -1133022.301168405)
120,26,-51.375,-10.125,9,1,10.280237356821695,POINT (-5719038.83950443 -1133022.301168405)
121,26,-51.375,-10.125,9,2,18.83893945482042,POINT (-5719038.83950443 -1133022.301168405)
122,26,-51.375,-10.125,9,3,28.47414716084798,POINT (-5719038.83950443 -1133022.301168405)
123,26,-51.375,-10.125,10,1,41.41312228308784,POINT (-5719038.83950443 -1133022.301168405)
124,26,-51.375,-10.125,10,2,50.2808469136556,POINT (-5719038.83950443 -1133022.301168405)
125,26,-51.375,-10.125,10,3,74.04625007841322,POINT (-5719038.83950443 -1133022.301168405)
126,27,-51.125,-10.125,9,1,9.76172595553928,POINT (-5691208.966806111 -1133022.301168405)
127,27,-51.125,-10.125,9,2,17.12703800201416,POINT (-5691208.966806111 -1133022.301168405)
128,27,-51.125,-10.125,9,3,26.80313163333469,POINT (-5691208.966806111 -1133022.301168405)
129,27,-51.125,-10.125,10,1,40.063494470384384,POINT (-5691208.966806111 -1133022.301168405)
130,27,-51.125,-10.125,10,2,48.45304621590508,POINT (-5691208.966806111 -1133022.301168405)
131,27,-51.125,-10.125,10,3,71.75865236918132,POINT (-5691208.966806111 -1133022.301168405)
132,28,-50.875,-10.125,9,1,9.105638053682116,POINT (-5663379.094107794 -1133022.301168405)
133,28,-50.875,-10.125,9,2,15.697720209757486,POINT (-5663379.094107794 -1133022.301168405)
134,28,-50.875,-10.125,9,3,25.54849738544888,POINT (-5663379.094107794 -1133022.301168405)
135,28,-50.875,-10.125,10,1,38.78051522043016,POINT (-5663379.094107794 -1133022.301168405)
136,28,-50.875,-10.125,10,2,47.297253449757896,POINT (-5663379.094107794 -1133022.301168405)
137,28,-50.875,-10.125,10,3,70.71628199683295,POINT (-5663379.094107794 -1133022.301168405)
138,29,-50.625,-10.125,9,1,9.234960767957899,POINT (-5635549.221409474 -1133022.301168405)
139,29,-50.625,-10.125,9,2,15.547981368170845,POINT (-5635549.221409474 -1133022.301168405)
140,29,-50.625,-10.125,9,3,24.572421073913574,POINT (-5635549.221409474 -1133022.301168405)
141,29,-50.625,-10.125,10,1,37.74450789557563,POINT (-5635549.221409474 -1133022.301168405)
142,29,-50.625,-10.125,10,2,45.5427614847819,POINT (-5635549.221409474 -1133022.301168405)
143,29,-50.625,-10.125,10,3,66.93944062127008,POINT (-5635549.221409474 -1133022.301168405)
144,30,-50.375,-10.125,9,1,9.527226580513847,POINT (-5607719.348711156 -1133022.301168405)
145,30,-50.375,-10.125,9,2,15.663520733515421,POINT (-5607719.348711156 -1133022.301168405)
146,30,-50.375,-10.125,9,3,24.76377847459581,POINT (-5607719.348711156 -1133022.301168405)
147,30,-50.375,-10.125,10,1,40.41705301072862,POINT (-5607719.348711156 -1133022.301168405)
148,30,-50.375,-10.125,10,2,47.66864140828451,POINT (-5607719.348711156 -1133022.301168405)
149,30,-50.375,-10.125,10,3,67.89832178751628,POINT (-5607719.348711156 -1133022.301168405)
150,34,-53.125,-10.375,9,1,13.545505205790201,POINT (-5913847.948392658 -1161303.54632974)
151,34,-53.125,-10.375,9,2,26.248730023701984,POINT (-5913847.948392658 -1161303.54632974)
152,34,-53.125,-10.375,9,3,36.57521114084456,POINT (-5913847.948392658 -1161303.54632974)
153,34,-53.125,-10.375,10,1,47.620600620905556,POINT (-5913847.948392658 -1161303.54632974)
154,34,-53.125,-10.375,10,2,55.88945664299859,POINT (-5913847.948392658 -1161303.54632974)
155,34,-53.125,-10.375,10,3,71.91732223828633,POINT (-5913847.948392658 -1161303.54632974)
156,35,-52.875,-10.375,9,1,14.457417011260986,POINT (-5886018.07569434 -1161303.54632974)
157,35,-52.875,-10.375,9,2,27.663601928287083,POINT (-5886018.07569434 -1161303.54632974)
158,35,-52.875,-10.375,9,3,37.462991078694664,POINT (-5886018.07569434 -1161303.54632974)
159,35,-52.875,-10.375,10,1,48.564252111646866,POINT (-5886018.07569434 -1161303.54632974)
160,35,-52.875,-10.375,10,2,55.800307750701904,POINT (-5886018.07569434 -1161303.54632974)
161,35,-52.875,-10.375,10,3,76.66833064291212,POINT (-5886018.07569434 -1161303.54632974)
162,36,-52.625,-10.375,9,1,13.805978139241537,POINT (-5858188.202996022 -1161303.54632974)
163,36,-52.625,-10.375,9,2,27.775609175364178,POINT (-5858188.202996022 -1161303.54632974)
164,36,-52.625,-10.375,9,3,36.98965383900536,POINT (-5858188.202996022 -1161303.54632974)
165,36,-52.625,-10.375,10,1,48.63016912672255,POINT (-5858188.202996022 -1161303.54632974)
166,36,-52.625,-10.375,10,2,54.994280921088325,POINT (-5858188.202996022 -1161303.54632974)
167,36,-52.625,-10.375,10,3,79.57066880332098,POINT (-5858188.202996022 -1161303.54632974)
168,37,-52.375,-10.375,9,1,13.759386274549696,POINT (-5830358.330297703 -1161303.54632974)
169,37,-52.375,-10.375,9,2,25.467411465115017,POINT (-5830358.330297703 -1161303.54632974)
170,37,-52.375,-10.375,9,3,35.50407791137695,POINT (-5830358.330297703 -1161303.54632974)
171,37,-52.375,-10.375,10,1,48.541705237494575,POINT (-5830358.330297703 -1161303.54632974)
172,37,-52.375,-10.375,10,2,54.740638732910156,POINT (-5830358.330297703 -1161303.54632974)
173,37,-52.375,-10.375,10,3,78.37835523817274,POINT (-5830358.330297703 -1161303.54632974)
174,38,-52.125,-10.375,9,1,13.122230980131361,POINT (-5802528.457599385 -1161303.54632974)
175,38,-52.125,-10.375,9,2,22.939518398708767,POINT (-5802528.457599385 -1161303.54632974)
176,38,-52.125,-10.375,9,3,33.059981981913246,POINT (-5802528.457599385 -1161303.54632974)
177,38,-52.125,-10.375,10,1,45.09945382012261,POINT (-5802528.457599385 -1161303.54632974)
178,38,-52.125,-10.375,10,2,52.1476526790195,POINT (-5802528.457599385 -1161303.54632974)
179,38,-52.125,-10.375,10,3,77.06922798686557,POINT (-5802528.457599385 -1161303.54632974)
180,39,-51.875,-10.375,9,1,12.975739161173502,POINT (-5774698.584901066 -1161303.54632974)
181,39,-51.875,-10.375,9,2,22.727514902750652,POINT (-5774698.584901066 -1161303.54632974)
182,39,-51.875,-10.375,9,3,32.387349658542206,POINT (-5774698.584901066 -1161303.54632974)
183,39,-51.875,-10.375,10,1,45.291830486721466,POINT (-5774698.584901066 -1161303.54632974)
184,39,-51.875,-10.375,10,2,51.73586474524604,POINT (-5774698.584901066 -1161303.54632974)
185,39,-51.875,-10.375,10,3,76.80748383204143,POINT (-5774698.584901066 -1161303.54632974)
186,40,-51.625,-10.375,9,1,11.556918144226074,POINT (-5746868.712202748 -1161303.54632974)
187,40,-51.625,-10.375,9,2,19.86985460917155,POINT (-5746868.712202748 -1161303.54632974)
188,40,-51.625,-10.375,9,3,30.33792347378201,POINT (-5746868.712202748 -1161303.54632974)
189,40,-51.625,-10.375,10,1,41.6554913520813,POINT (-5746868.712202748 -1161303.54632974)
190,40,-51.625,-10.375,10,2,51.71906481848823,POINT (-5746868.712202748 -1161303.54632974)
191,40,-51.625,-10.375,10,3,73.87523534562852,POINT (-5746868.712202748 -1161303.54632974)
192,41,-51.375,-10.375,9,1,10.32112905714247,POINT (-5719038.83950443 -1161303.54632974)
193,41,-51.375,-10.375,9,2,18.072470241122776,POINT (-5719038.83950443 -1161303.54632974)
194,41,-51.375,-10.375,9,3,28.311854892306858,POINT (-5719038.83950443 -1161303.54632974)
195,41,-51.375,-10.375,10,1,41.572969648573135,POINT (-5719038.83950443 -1161303.54632974)
196,41,-51.375,-10.375,10,2,49.84055317772759,POINT (-5719038.83950443 -1161303.54632974)
